id,expec_vida,alcool,hepatite_b,sarampo,hiv_aids,escolaridade
40,73.8,0.44,9.0,0,0.1,12.3
41,73.4,0.36,8.0,944,0.1,12.3
42,72.9,0.5,83.0,2302,0.1,12.0
43,72.3,0.45,81.0,3289,0.1,11.7
49,51.7,8.33,64.0,11699,2.0,11.4
50,51.1,8.1,77.0,8523,2.3,11.4
51,56.0,8.24,75.0,4458,2.6,10.3
52,51.0,8.06,72.0,1449,2.5,9.4
53,49.6,7.8,77.0,1190,2.5,9.0
54,49.1,7.01,61.0,2807,2.5,8.5
55,48.7,7.07,69.0,265,2.6,8.1
56,48.2,6.35,73.0,1014,2.6,7.7
65,76.2,8.56,99.0,0,0.2,13.9
66,76.1,8.58,99.0,0,0.2,13.9
67,75.9,8.18,98.0,0,0.2,13.8
68,75.7,7.84,99.0,0,0.1,14.1
69,75.6,7.84,98.0,0,0.1,14.1
70,75.4,7.82,98.0,0,0.1,14.2
71,75.2,8.27,98.0,0,0.1,14.4
72,75.0,8.64,97.0,0,0.1,14.5
73,74.8,8.93,99.0,0,0.1,14.7
74,74.6,8.15,99.0,0,0.1,0.0
75,74.4,7.28,97.0,0,0.1,0.0
76,74.2,7.16,99.0,0,0.1,0.0
77,74.0,7.21,99.0,0,0.1,0.0
78,73.8,7.51,96.0,0,0.1,0.0
81,76.2,7.93,94.0,1,0.1,17.3
82,76.0,8.28,94.0,0,0.1,17.3
83,75.9,8.35,91.0,2,0.1,17.2
84,75.7,8.11,91.0,3,0.1,17.1
85,75.5,8.15,94.0,17,0.1,16.8
86,75.6,8.33,94.0,3,0.1,16.5
87,75.4,8.41,9.0,0,0.1,16.3
88,74.8,8.16,85.0,0,0.1,16.3
89,75.2,7.75,84.0,0,0.1,16.1
90,74.9,7.53,88.0,0,0.1,16.3
91,74.7,7.63,81.0,0,0.1,16.3
92,74.1,7.62,73.0,0,0.1,16.4
93,74.1,7.81,66.0,0,0.1,16.3
97,74.6,3.91,93.0,13,0.1,12.7
98,74.4,3.79,95.0,10,0.1,12.7
99,74.4,3.89,95.0,0,0.1,12.7
100,73.9,4.09,95.0,0,0.1,12.7
101,73.5,4.23,94.0,2,0.1,12.3
102,73.3,3.96,93.0,0,0.1,11.9
103,73.2,3.96,89.0,0,0.1,12.3
104,73.5,3.99,85.0,1,0.1,11.7
105,72.9,4.01,78.0,137,0.1,11.2
106,73.0,4.25,91.0,2281,0.1,10.9
107,73.0,3.81,91.0,1783,0.1,10.9
108,72.7,3.03,93.0,4,0.1,10.8
109,72.6,2.86,91.0,40,0.1,10.8
110,72.6,2.86,69.0,69,0.1,11.1
111,72.0,2.9,55.0,15,0.1,11.2
113,82.7,9.71,91.0,340,0.1,20.4
114,82.5,9.87,91.0,158,0.1,20.3
115,82.3,10.03,91.0,199,0.1,20.1
116,82.0,10.3,92.0,190,0.1,19.8
117,81.9,10.52,92.0,70,0.1,19.5
118,81.7,10.62,94.0,104,0.1,19.1
119,81.3,10.76,94.0,65,0.1,19.1
120,81.3,10.56,94.0,11,0.1,19.0
121,81.2,10.31,95.0,0,0.1,20.3
122,81.0,10.3,95.0,10,0.1,20.3
123,86.0,9.84,95.0,70,0.1,20.7
124,83.0,9.97,95.0,91,0.1,20.6
125,79.9,9.84,95.0,32,0.1,20.1
126,79.9,9.53,94.0,141,0.1,20.5
129,81.4,12.32,98.0,117,0.1,15.9
130,81.1,11.82,95.0,0,0.1,15.7
131,88.0,12.26,92.0,36,0.1,15.7
132,88.0,12.04,89.0,68,0.1,15.7
133,84.0,12.1,86.0,52,0.1,15.4
134,82.0,11.3,83.0,49,0.1,15.3
135,84.0,12.0,83.0,448,0.1,15.1
136,81.0,12.5,85.0,20,0.1,15.2
137,79.8,12.4,83.0,23,0.1,15.0
138,79.4,12.4,86.0,9,0.1,14.9
139,79.3,12.1,83.0,15,0.1,14.7
140,78.8,12.2,83.0,90,0.1,14.7
141,78.7,12.5,81.0,0,0.1,16.1
142,78.6,12.4,44.0,0,0.1,15.5
143,78.1,13.2,33.0,0,0.1,15.4
145,72.5,0.01,94.0,0,0.1,12.2
146,72.2,2.14,93.0,164,0.1,11.9
147,71.9,0.01,88.0,0,0.1,11.8
148,71.6,1.98,84.0,0,0.1,11.7
149,71.1,1.98,8.0,0,0.1,11.7
150,78.0,2.1,74.0,0,0.1,11.6
151,73.0,1.18,68.0,5,0.1,11.6
152,73.0,1.02,62.0,0,0.1,11.6
153,69.2,0.85,52.0,222,0.1,10.7
154,68.4,0.73,49.0,1238,0.1,11.2
155,68.4,0.62,5.0,827,0.1,11.0
156,67.8,0.55,51.0,1978,0.1,10.8
157,67.8,0.55,5.0,4353,0.1,10.6
161,75.4,9.45,96.0,0,0.1,12.6
162,74.8,9.42,97.0,0,0.1,12.6
163,74.9,9.5,96.0,0,0.2,12.6
164,75.0,9.34,95.0,0,0.1,12.6
165,75.0,9.19,98.0,0,0.2,12.6
166,74.6,9.29,95.0,0,0.1,12.6
167,74.5,10.15,9.0,0,0.1,12.6
168,74.4,10.75,93.0,0,0.1,12.5
169,74.2,11.07,96.0,0,0.1,12.4
170,74.1,10.49,93.0,0,0.1,12.4
171,73.8,10.1,93.0,0,0.1,12.3
172,73.2,10.68,88.0,0,0.1,12.2
173,73.1,10.85,89.0,0,0.1,12.1
174,72.9,11.64,21.0,0,0.2,12.1
177,76.8,1.57,98.0,46,0.1,14.5
178,76.7,1.65,99.0,0,0.1,14.5
179,76.5,1.7,99.0,0,0.1,14.5
180,76.1,1.66,99.0,0,0.1,14.4
181,76.1,1.93,99.0,0,0.1,14.4
182,76.0,1.95,98.0,3,0.1,14.4
183,75.8,2.0,97.0,2,0.1,14.4
184,75.6,2.0,97.0,7,0.1,14.4
185,75.5,2.1,98.0,3,0.1,14.2
186,75.3,2.05,98.0,4,0.1,14.0
187,75.2,2.16,98.0,11,0.1,13.9
188,75.0,2.16,98.0,12,0.1,13.7
189,74.9,1.99,98.0,8,0.1,13.5
190,74.7,1.95,99.0,5,0.1,13.3
191,74.5,2.15,97.0,6,0.1,13.2
193,71.4,0.01,97.0,289,0.1,10.0
194,71.0,0.01,96.0,237,0.1,10.0
195,77.0,0.01,94.0,1986,0.1,9.9
196,73.0,0.01,96.0,5625,0.1,9.4
197,69.9,0.01,94.0,788,0.1,8.9
198,69.5,0.01,97.0,718,0.1,8.4
199,69.1,0.01,96.0,2660,0.1,8.6
200,68.6,0.01,95.0,2924,0.1,8.6
201,68.2,0.01,86.0,6192,0.1,8.4
202,67.8,0.01,45.0,25934,0.1,8.2
203,67.3,0.01,11.0,9743,0.1,8.1
204,66.8,0.01,5.0,4067,0.1,7.9
209,75.4,8.82,94.0,0,0.1,15.3
210,75.2,8.74,91.0,0,0.1,15.3
211,75.1,8.61,87.0,0,0.1,15.3
212,74.9,8.51,91.0,0,0.1,15.5
213,74.7,8.41,86.0,0,0.1,15.8
214,74.6,8.46,93.0,0,0.1,15.5
215,74.4,8.95,85.0,0,0.1,15.3
216,74.2,8.47,93.0,0,0.1,15.0
217,74.1,8.39,84.0,0,0.1,14.8
218,73.9,8.01,92.0,0,0.1,14.6
219,73.8,7.68,93.0,0,0.2,14.4
220,73.7,7.65,91.0,0,0.4,14.2
221,73.5,7.59,66.0,0,0.8,14.0
222,73.4,7.38,18.0,0,0.7,14.0
225,72.0,13.94,97.0,64,0.1,15.7
226,71.7,14.66,98.0,16,0.1,15.7
227,71.9,16.35,97.0,10,0.1,15.6
228,72.0,17.31,98.0,50,0.1,15.5
229,73.0,14.44,96.0,1,0.1,15.5
230,70.0,14.09,98.0,0,0.1,15.4
231,70.0,14.67,98.0,0,0.1,15.1
232,69.8,14.22,91.0,1,0.1,14.9
233,68.9,12.6,98.0,149,0.1,14.6
234,68.1,11.01,99.0,1,0.1,14.4
235,68.2,12.05,99.0,2,0.1,14.1
236,67.7,11.17,56.0,21,0.1,13.9
237,67.2,12.23,99.0,14,0.1,13.6
238,67.7,10.74,93.0,45,0.1,13.3
239,68.0,12.98,7.0,21,0.1,13.1
241,89.0,12.6,98.0,70,0.1,16.3
242,87.0,11.77,98.0,39,0.1,16.3
243,83.0,10.08,98.0,109,0.1,16.2
244,83.0,10.11,97.0,576,0.1,16.1
245,80.0,10.22,97.0,40,0.1,15.9
246,79.8,10.05,97.0,33,0.1,15.8
247,79.5,10.47,98.0,98,0.1,15.8
248,79.5,10.25,94.0,64,0.1,15.8
249,79.4,10.98,94.0,15,0.1,15.7
250,78.9,12.27,77.0,26,0.1,15.7
251,78.8,12.05,64.0,61,0.1,18.8
252,78.3,11.28,64.0,44,0.1,18.6
253,78.0,11.29,6.0,0,0.1,18.8
254,78.0,11.01,6.0,83,0.1,18.2
255,77.6,11.21,6.0,0,0.1,18.0
257,70.0,6.58,95.0,0,0.2,12.8
258,69.8,6.56,95.0,0,0.2,12.9
259,69.4,6.66,98.0,0,0.1,12.5
260,69.4,6.64,95.0,0,0.5,12.4
261,69.5,6.76,96.0,0,0.2,12.4
262,69.5,6.85,97.0,0,0.3,12.7
263,69.6,7.22,94.0,0,0.1,12.8
264,69.6,7.24,96.0,0,0.6,12.8
265,69.4,6.48,98.0,0,0.6,12.3
266,69.0,6.25,96.0,0,0.8,12.8
267,68.7,6.2,97.0,0,0.8,12.5
268,68.4,5.67,96.0,0,1.5,12.2
269,68.5,4.99,97.0,0,0.1,11.9
270,68.2,4.9,96.0,0,0.4,11.8
271,68.3,4.79,76.0,0,0.3,11.7
273,59.7,0.01,78.0,786,1.1,10.7
274,59.5,0.01,77.0,637,1.2,10.3
275,59.3,0.01,8.0,288,1.3,10.0
276,59.1,1.4,75.0,426,1.4,9.8
277,58.7,1.33,76.0,392,1.4,9.5
278,58.4,1.16,79.0,1461,1.6,9.3
279,57.6,1.28,75.0,928,1.8,9.1
280,57.1,1.12,82.0,341,2.0,8.9
281,56.8,1.19,74.0,176,2.0,8.7
282,56.5,1.13,7.0,210,2.1,8.5
283,56.1,1.15,75.0,262,2.1,8.1
284,55.8,1.35,73.0,217,2.1,7.7
285,55.6,1.23,15.0,1588,2.1,7.3
289,69.4,0.01,99.0,0,0.5,12.5
290,69.1,0.01,97.0,0,0.6,12.6
291,68.7,0.01,97.0,1,0.6,12.3
292,68.3,0.23,95.0,10,0.5,11.9
293,67.9,0.28,91.0,21,0.5,11.4
294,67.4,0.17,93.0,6,0.4,10.9
295,67.0,0.21,96.0,7,0.4,10.5
296,66.5,0.16,95.0,11,0.3,10.1
297,65.8,0.29,95.0,2,0.3,9.6
298,65.0,0.73,95.0,11,0.3,9.2
299,64.2,0.96,89.0,3,0.3,8.8
300,63.3,0.52,95.0,0,0.2,8.4
301,62.5,0.29,83.0,27,0.1,8.0
302,61.7,0.14,89.0,756,0.1,7.6
303,62.0,0.17,98.0,418,0.1,7.3
305,74.0,3.62,98.0,0,0.1,13.8
306,71.0,3.78,94.0,0,0.1,13.8
307,69.8,3.89,93.0,0,0.1,13.8
308,69.3,3.93,95.0,0,0.2,13.8
309,68.7,3.95,91.0,0,0.2,13.8
310,68.0,3.87,93.0,0,0.2,13.8
311,67.4,3.77,88.0,0,0.2,14.0
312,66.8,3.47,84.0,0,0.2,14.1
313,66.2,3.23,83.0,0,0.2,14.3
314,65.7,2.86,85.0,0,0.2,14.4
315,65.1,2.66,84.0,0,0.2,14.6
316,64.5,2.37,8.0,0,0.2,14.4
317,63.9,2.26,77.0,0,0.1,14.0
318,63.3,2.2,77.0,0,0.1,13.7
319,62.6,2.32,77.0,122,0.1,13.3
321,77.2,4.03,89.0,3000,0.1,14.2
322,77.0,4.12,91.0,0,0.1,14.2
323,76.8,4.61,92.0,22,0.1,13.9
324,76.9,4.64,88.0,10,0.1,13.4
325,76.4,4.54,89.0,45,0.1,13.3
326,76.1,4.75,9.0,22,0.1,13.3
327,76.0,5.13,88.0,8,0.1,13.1
328,75.4,5.16,94.0,166,0.1,12.9
329,75.7,4.82,9.0,17,0.1,12.7
330,75.0,4.56,93.0,23,0.1,12.5
331,75.5,4.25,36.0,28,0.1,12.3
337,65.1,0.01,95.0,1,2.3,12.6
338,64.2,0.01,95.0,1,2.8,12.6
339,63.4,0.01,95.0,7,4.4,12.5
340,62.2,5.76,95.0,8,5.5,12.4
341,61.1,5.99,95.0,853,6.2,12.3
342,59.2,5.01,94.0,184,9.0,12.2
343,57.5,6.56,94.0,0,12.7,12.1
344,56.9,6.21,93.0,1,13.4,12.1
345,54.8,6.45,93.0,6,14.4,11.9
346,51.7,6.37,92.0,5,20.6,11.9
347,48.1,4.9,91.0,1,28.4,11.8
348,46.4,5.51,9.0,59,31.9,11.8
349,46.0,6.41,88.0,7,34.6,11.9
350,46.7,5.48,87.0,1,37.2,11.8
351,47.8,5.37,86.0,2672,38.8,11.7
353,74.8,7.32,96.0,876,0.1,15.2
354,74.7,7.24,96.0,220,0.1,14.2
355,74.5,7.55,96.0,2,0.1,14.2
356,74.1,7.58,98.0,43,0.1,14.0
357,73.8,7.52,96.0,68,0.1,13.8
358,73.6,7.33,99.0,0,0.1,13.8
359,73.4,7.21,96.0,0,0.1,13.3
360,73.3,7.19,99.0,0,0.1,13.5
361,73.0,7.1,99.0,57,0.1,13.8
362,72.7,6.97,98.0,6,0.1,13.8
363,72.0,6.85,96.0,0,0.1,14.0
364,71.8,6.95,97.0,2,0.1,14.8
365,71.4,7.0,92.0,1,0.1,14.6
366,71.0,7.13,91.0,1,0.1,14.3
367,75.0,7.26,94.0,36,0.1,14.1
369,77.6,0.01,99.0,1,0.1,15.0
370,77.1,0.01,98.0,0,0.1,14.9
371,78.3,0.01,99.0,1,0.1,14.4
372,77.4,0.97,93.0,4,0.1,14.1
373,76.9,0.88,96.0,0,0.1,14.2
374,76.8,0.25,96.0,2,0.1,14.1
375,77.2,0.67,96.0,3,0.1,14.2
376,76.0,0.85,97.0,0,0.1,14.3
377,76.3,0.67,99.0,0,0.1,14.3
378,76.2,0.16,99.0,9,0.1,14.1
379,76.4,0.11,99.0,16,0.1,13.7
380,76.0,0.12,99.0,24,0.1,13.4
381,74.8,0.13,99.0,0,0.1,13.3
382,74.7,0.47,99.0,11,0.1,13.4
383,74.4,0.37,99.0,42,0.1,13.4
385,74.3,12.03,95.0,0,0.1,14.8
386,74.1,12.06,95.0,14,0.1,14.4
387,73.9,10.99,95.0,1,0.1,14.3
388,73.7,10.67,96.0,157,0.1,14.2
389,73.4,10.8,95.0,22004,0.1,13.9
390,73.2,10.93,96.0,2249,0.1,13.8
391,72.9,10.98,96.0,1,0.1,13.8
392,72.6,10.89,95.0,1,0.1,13.5
393,72.2,10.39,96.0,1,0.1,13.5
394,72.1,10.48,96.0,3,0.1,13.5
395,72.2,10.96,94.0,0,0.1,13.3
396,72.0,11.19,96.0,0,0.1,12.9
397,71.8,10.2,88.0,0,0.1,12.9
398,71.6,10.72,93.0,8,0.1,12.9
399,71.1,9.69,94.0,46,0.1,12.9
401,59.3,0.01,91.0,343,0.6,7.7
402,59.0,4.64,88.0,375,0.7,7.5
403,58.6,4.75,9.0,7362,0.8,7.2
404,58.1,4.51,91.0,860,0.9,6.7
405,57.5,4.55,91.0,2511,1.0,6.3
406,56.9,4.55,92.0,54118,1.1,5.9
407,56.1,4.5,93.0,395,1.5,5.4
408,55.3,4.58,89.0,12,1.7,4.9
409,54.3,4.73,76.0,125,2.0,4.7
417,59.1,0.01,95.0,0,0.7,10.6
418,58.6,0.01,96.0,0,1.0,10.5
419,58.0,0.01,96.0,49,1.2,10.3
420,57.4,4.16,96.0,129,1.5,9.9
421,56.8,4.16,96.0,495,1.9,9.3
422,56.2,4.05,94.0,305,2.4,8.6
423,55.3,4.33,92.0,173,2.9,7.9
424,54.8,4.54,99.0,43,3.4,7.2
425,54.1,4.5,92.0,784,3.8,5.9
426,53.4,5.54,87.0,0,4.3,5.6
427,52.6,5.72,83.0,2,4.8,5.2
449,73.0,0.01,97.0,0,0.2,13.5
450,72.8,0.01,94.0,0,0.2,13.6
451,72.7,0.01,94.0,0,0.3,13.2
452,72.6,5.07,9.0,0,0.3,13.1
453,72.5,4.75,98.0,0,0.4,12.7
454,72.4,4.45,98.0,0,0.4,12.4
455,72.4,4.16,98.0,0,0.4,12.2
456,72.3,5.28,96.0,0,0.6,11.9
457,72.1,4.25,95.0,0,0.6,11.9
458,71.8,4.26,93.0,0,0.8,11.2
459,71.4,4.19,91.0,0,0.8,11.1
460,71.1,4.16,66.0,0,0.9,11.3
461,77.0,3.82,4.0,0,0.8,11.3
465,68.3,0.01,88.0,0,0.2,10.9
466,67.8,0.01,83.0,0,0.2,10.8
467,67.4,0.01,86.0,15,0.3,10.7
468,67.0,2.12,88.0,722,0.3,10.7
469,66.6,2.2,89.0,1156,0.5,10.6
470,66.1,2.13,92.0,4779,0.6,10.5
471,65.6,2.24,91.0,4211,0.7,10.5
472,65.0,2.08,82.0,394,0.9,10.3
473,64.1,2.03,8.0,188,1.1,10.1
481,56.7,0.01,87.0,831,3.7,10.4
482,56.4,0.01,89.0,760,4.0,10.4
483,55.9,0.01,85.0,609,4.6,10.4
484,55.6,6.19,82.0,504,4.9,10.0
485,55.3,6.15,84.0,240,5.5,9.7
486,54.8,5.89,8.0,251,6.3,9.2
487,54.2,5.9,84.0,495,6.7,8.8
488,53.6,5.44,82.0,100,7.0,8.0
489,53.3,5.22,81.0,196,7.2,8.2
490,52.8,5.03,79.0,605,7.4,8.3
497,82.0,8.1,55.0,418,0.1,15.9
498,81.8,8.2,55.0,83,0.1,15.9
499,81.6,8.3,7.0,10,0.1,15.9
500,81.5,8.2,7.0,803,0.1,15.9
501,81.2,8.4,56.0,99,0.1,15.9
502,81.0,8.4,42.0,14,0.1,15.9
503,87.0,8.3,28.0,62,0.1,15.8
504,85.0,8.3,14.0,101,0.1,15.8
505,85.0,8.2,14.0,13,0.1,15.8
506,81.0,8.0,14.0,6,0.1,15.8
507,80.0,7.8,14.0,7,0.1,15.8
508,79.7,7.7,14.0,15,0.1,15.8
513,58.0,0.01,47.0,210,4.5,7.1
514,49.9,0.01,23.0,596,5.1,7.1
515,53.0,0.01,47.0,141,5.1,7.1
516,49.8,1.66,47.0,679,5.8,6.8
517,49.2,1.67,45.0,2,6.6,6.6
518,48.6,1.56,42.0,11,7.3,6.4
529,52.6,0.01,37.0,1275,2.9,7.3
530,52.2,0.64,39.0,226,3.1,7.3
531,51.8,0.62,4.0,120,3.6,7.3
532,51.6,0.56,33.0,8650,3.9,6.7
533,51.2,0.5,39.0,194,4.1,6.7
534,57.0,0.47,24.0,165,4.4,6.3
535,49.6,0.45,17.0,63,4.7,6.0
545,83.0,7.16,95.0,0,0.1,16.2
546,81.0,7.2,9.0,0,0.1,15.6
547,79.9,6.76,9.0,0,0.1,15.5
548,79.8,7.26,94.0,6,0.1,15.4
549,79.1,7.93,92.0,0,0.1,15.2
550,79.3,7.67,94.0,1,0.1,15.3
551,79.6,7.31,95.0,0,0.1,15.2
552,78.9,7.39,92.0,0,0.1,14.8
553,78.9,7.33,95.0,0,0.1,14.9
561,75.8,5.78,99.0,52628,0.1,13.1
562,75.6,5.79,99.0,26883,0.1,12.7
563,75.4,5.74,99.0,6183,0.1,12.4
564,75.2,5.63,99.0,9943,0.1,12.8
565,75.0,5.75,99.0,38159,0.1,12.5
566,74.9,4.88,99.0,52461,0.1,12.2
567,74.5,4.27,95.0,131441,0.1,11.9
568,74.4,3.88,92.0,109023,0.1,11.4
569,74.2,3.28,91.0,99602,0.1,11.0
570,73.9,2.92,84.0,124219,0.1,10.6
571,73.5,3.04,79.0,70549,0.1,10.2
572,73.1,2.96,75.0,71879,0.1,9.9
573,72.7,2.91,7.0,58341,0.1,9.7
574,72.2,2.84,65.0,88962,0.1,9.6
575,71.7,3.06,6.0,71093,0.1,9.5
577,74.6,4.38,9.0,0,0.1,13.6
578,74.4,4.41,91.0,1,0.1,13.3
579,74.3,4.44,92.0,1,0.1,13.2
580,74.2,4.37,85.0,6,0.1,13.0
581,73.6,4.28,88.0,0,0.1,12.8
582,73.6,4.34,92.0,0,0.1,12.4
583,73.5,4.45,92.0,0,0.1,12.2
584,73.5,4.66,93.0,0,0.1,11.9
585,73.1,4.53,93.0,0,0.1,11.5
586,73.1,4.38,93.0,0,0.1,11.1
587,72.8,4.26,89.0,0,0.1,11.3
588,72.4,4.25,92.0,0,0.1,11.6
589,71.8,4.45,78.0,139,0.1,11.5
590,71.5,4.43,8.0,3,0.1,11.4
591,71.4,4.66,78.0,1,0.1,11.3
593,63.2,0.01,88.0,0,0.8,11.1
594,62.9,0.01,88.0,0,0.8,10.9
595,62.5,0.01,89.0,1,0.8,10.8
596,62.2,0.12,83.0,3,0.2,10.6
597,61.8,0.15,74.0,0,0.1,10.5
598,61.3,0.17,83.0,1,0.1,10.3
599,61.0,0.12,81.0,0,0.1,10.2
600,66.0,0.16,75.0,0,0.1,10.0
601,63.0,0.25,69.0,85,0.1,9.9
602,60.0,0.24,68.0,912,0.1,9.7
603,59.8,0.27,77.0,0,0.1,9.5
604,59.6,0.26,28.0,0,0.1,9.2
609,64.2,0.01,9.0,71,3.0,11.1
610,63.9,0.01,85.0,124,3.0,11.1
611,63.7,0.01,62.0,260,3.3,10.2
612,62.9,3.82,7.0,315,3.5,10.7
613,62.0,3.53,74.0,4,3.8,10.5
614,68.0,3.47,75.0,1,4.0,10.3
615,59.4,2.58,73.0,2,4.3,10.0
616,58.2,2.75,64.0,84,5.0,9.8
626,79.5,3.45,91.0,1,0.1,13.9
627,79.4,3.42,94.0,0,0.1,13.7
628,79.2,3.34,91.0,0,0.1,13.6
629,79.0,3.41,84.0,0,0.1,13.4
630,78.1,3.58,89.0,0,0.1,13.3
631,79.2,4.07,87.0,0,0.1,13.1
632,78.9,4.22,89.0,0,0.1,12.9
633,78.9,4.2,89.0,0,0.1,12.8
634,78.0,4.15,88.0,0,0.1,12.6
635,78.6,4.1,9.0,1,0.1,12.4
636,77.7,4.09,89.0,0,0.1,12.2
637,78.0,4.04,86.0,1,0.1,12.1
638,78.3,4.17,94.0,0,0.1,11.9
639,77.5,4.29,8.0,0,0.1,11.7
640,77.6,4.34,89.0,0,0.1,11.6
642,77.8,12.14,95.0,0,0.1,15.1
643,77.7,12.39,96.0,0,0.1,14.9
644,77.1,11.49,98.0,2,0.1,14.6
645,77.0,12.19,97.0,12,0.1,14.5
646,76.6,12.1,97.0,7,0.1,14.2
647,76.3,12.21,97.0,2,0.1,14.2
648,76.0,12.06,97.0,51,0.1,14.3
649,75.8,12.56,95.0,0,0.1,14.3
658,79.0,4.37,97.0,0,0.1,14.0
659,78.7,4.18,96.0,0,0.1,14.7
660,78.7,4.16,96.0,0,0.1,15.7
661,78.8,4.14,96.0,0,0.1,16.5
662,78.0,4.13,96.0,0,0.1,17.6
663,78.1,4.01,96.0,0,0.1,17.7
664,77.9,4.26,95.0,0,0.1,17.1
665,78.1,4.13,93.0,0,0.1,16.0
666,78.0,4.17,89.0,0,0.1,14.7
667,77.2,4.48,95.0,0,0.1,14.2
668,77.3,4.38,99.0,0,0.1,13.2
669,77.4,4.39,99.0,0,0.1,12.9
670,77.7,4.1,98.0,0,0.1,12.5
671,76.7,4.04,98.0,0,0.1,12.3
672,76.9,3.92,98.0,0,0.1,12.1
674,83.0,0.01,96.0,10,0.1,14.0
675,81.0,9.04,96.0,0,0.1,13.8
676,80.0,10.55,96.0,1,0.1,13.8
677,79.7,10.69,96.0,0,0.1,13.8
678,79.5,11.32,96.0,18,0.1,14.6
679,79.3,10.8,96.0,0,0.1,14.1
680,79.1,12.01,93.0,1,0.1,13.7
681,78.9,11.56,93.0,0,0.1,13.5
682,78.8,11.47,93.0,0,0.1,13.4
683,78.7,11.41,88.0,1,0.1,13.5
684,78.6,13.03,88.0,0,0.1,13.4
685,78.5,10.62,88.0,0,0.1,13.0
686,78.4,11.68,88.0,0,0.1,12.5
687,78.2,10.16,89.0,0,0.1,12.4
688,78.1,9.56,89.0,0,0.1,12.5
754,63.0,0.38,78.0,0,2.1,6.3
755,62.7,0.53,82.0,28,2.1,6.3
756,62.2,0.52,81.0,709,1.9,6.3
757,61.8,0.39,87.0,49,2.7,5.9
758,61.3,0.44,88.0,7,3.1,5.5
759,69.0,0.49,89.0,48,3.2,5.3
760,62.0,0.49,88.0,143,3.3,5.0
761,59.8,0.45,25.0,24,3.5,4.5
771,73.6,5.92,89.0,0,0.3,13.2
772,73.4,5.93,8.0,0,0.3,13.2
773,72.1,5.93,74.0,0,0.4,13.1
774,73.1,5.91,8.0,2,0.7,13.0
775,72.7,6.02,83.0,0,0.9,12.9
776,73.6,6.05,8.0,0,1.2,12.9
777,73.3,6.12,81.0,0,1.4,12.8
778,72.9,6.05,81.0,0,1.6,12.7
779,72.3,6.2,84.0,0,1.8,12.6
780,69.7,5.71,87.0,0,2.0,12.6
781,69.3,5.16,82.0,0,2.1,12.5
782,73.0,6.32,79.0,0,2.3,12.4
783,71.4,6.43,63.0,0,2.4,12.3
784,71.2,6.13,66.0,113,2.5,12.3
785,72.0,6.58,68.0,253,2.5,12.2
787,76.0,3.82,83.0,0,0.1,14.0
788,76.0,3.77,87.0,0,0.1,13.4
789,75.5,3.92,88.0,72,0.1,13.3
790,75.3,3.99,88.0,257,0.1,13.2
791,75.0,3.95,9.0,0,0.1,13.1
792,75.1,3.87,91.0,0,0.1,13.1
793,74.6,3.76,93.0,1,0.1,13.0
794,74.7,3.63,94.0,0,0.2,12.9
795,74.4,3.52,96.0,0,0.3,12.8
796,74.2,3.54,92.0,0,0.3,12.8
797,74.4,3.65,88.0,0,0.3,12.7
798,74.4,3.69,82.0,0,0.3,12.6
799,73.6,3.88,75.0,0,0.3,12.5
800,73.4,4.13,69.0,2,0.3,12.4
801,72.8,3.99,36.0,0,0.3,12.4
803,78.0,0.21,94.0,1314,0.1,13.1
