idade,renda_anual,tipo_propriedade,tempo_de_emprego,objetivo,classificacao,valor_emprestimo,taxa_juros,devedor,relacao_emprestimo_renda,foi_inadimplente
34,60000,Alugado,0.0,Educação,C,12000,12.22,0,0.2,S
24,64600,Alugado,2.0,Quitação de dívidas,A,5000,7.9,0,0.08,N
29,60000,Alugado,4.0,Reforma Casa,B,5500,10.74,0,0.09,N
26,29136,Alugado,0.0,Pessoal,D,10100,13.55,1,0.35,S
23,105000,Alugado,7.0,Médico,B,7200,11.71,0,0.07,N
29,83300,Hipotecado,5.0,Médico,E,5000,16.95,1,0.05,S
48,55000,Alugado,9.0,Médico,C,10200,13.92,0,0.19,N
23,56403,Hipotecado,7.0,Médico,D,30000,16.49,1,0.45,N
30,70000,Hipotecado,0.0,Reforma Casa,C,15000,12.73,0,0.21,S
37,72800,Hipotecado,0.0,Educação,B,23000,11.58,0,0.32,N
27,36000,Alugado,3.0,Pessoal,E,10000,17.19,0,0.28,S
23,18720,Alugado,2.0,Educação,D,4000,15.62,1,0.21,N
25,45000,Alugado,4.0,Empreendimento,B,8000,10.38,0,0.18,N
48,20400,Alugado,4.0,Médico,A,12000,7.49,1,0.59,N
25,160000,Hipotecado,3.0,Empreendimento,C,20000,13.47,0,0.13,S
24,100860,Hipotecado,8.0,Reforma Casa,A,6000,5.99,0,0.06,N
32,60000,Hipotecado,2.0,Empreendimento,B,7125,9.99,0,0.12,N
28,99996,Hipotecado,6.0,Empreendimento,A,10000,5.42,0,0.1,N
26,122000,Hipotecado,10.0,Pessoal,A,6000,7.51,0,0.05,N
31,30000,Alugado,2.0,Pessoal,C,7200,15.96,0,0.24,S
33,60000,Hipotecado,17.0,Médico,A,7000,5.42,0,0.12,N
59,175000,Alugado,3.0,Pessoal,B,12000,10.59,0,0.07,N
26,54000,Hipotecado,2.0,Reforma Casa,C,6000,13.98,1,0.11,S
27,94500,Hipotecado,2.0,Pessoal,C,10000,14.26,0,0.11,N
32,44400,Alugado,5.0,Empreendimento,D,15000,16.49,1,0.34,S
23,44796,Alugado,2.0,Quitação de dívidas,B,10000,11.48,0,0.22,N
24,54480,Alugado,8.0,Reforma Casa,B,10000,11.89,0,0.18,N
22,68000,Hipotecado,6.0,Educação,C,9000,15.27,0,0.13,N
25,65000,Próprio,1.0,Empreendimento,C,12000,12.61,0,0.18,S
23,44000,Alugado,7.0,Educação,A,9800,7.51,1,0.22,N
22,46000,Alugado,4.0,Educação,A,5000,7.88,0,0.11,N
27,96000,Alugado,0.0,Quitação de dívidas,B,4375,8.88,0,0.05,N
22,61000,Hipotecado,1.0,Quitação de dívidas,B,8000,11.49,0,0.13,N
28,29112,Próprio,1.0,Empreendimento,A,7000,6.99,0,0.24,N
23,63719,Hipotecado,0.0,Médico,A,3500,7.9,1,0.05,N
31,29000,Alugado,5.0,Médico,D,9000,15.37,1,0.31,N
36,22000,Hipotecado,0.0,Educação,A,8000,6.99,0,0.36,N
23,100000,Hipotecado,7.0,Pessoal,B,11200,11.49,0,0.11,N
24,205000,Hipotecado,8.0,Educação,C,35000,13.99,0,0.17,N
29,34999,Hipotecado,8.0,Quitação de dívidas,D,6250,15.95,1,0.18,S
32,52000,Próprio,14.0,Empreendimento,A,15000,6.91,0,0.29,N
29,42000,Alugado,0.0,Educação,C,7500,12.87,0,0.18,S
22,98656,Hipotecado,3.0,Educação,C,7500,13.06,1,0.08,S
22,72000,Hipotecado,6.0,Educação,E,8000,16.45,0,0.11,N
36,136000,Hipotecado,0.0,Empreendimento,C,4800,14.72,0,0.04,N
23,24996,Hipotecado,4.0,Educação,B,5000,12.69,0,0.2,N
22,28800,Alugado,6.0,Médico,B,8000,11.49,0,0.28,N
26,85000,Alugado,2.0,Empreendimento,A,28000,7.49,1,0.33,N
24,40800,Alugado,0.0,Empreendimento,A,2800,6.99,0,0.07,N
25,37700,Hipotecado,7.0,Educação,B,9000,11.58,1,0.24,N
34,28500,Alugado,0.0,Educação,B,9175,12.69,1,0.32,N
25,24000,Alugado,9.0,Pessoal,B,9600,11.71,1,0.4,N
23,49000,Hipotecado,7.0,Médico,A,2400,7.66,0,0.05,N
27,27000,Alugado,1.0,Quitação de dívidas,A,5000,7.88,0,0.19,N
25,85000,Hipotecado,7.0,Quitação de dívidas,C,12000,14.65,0,0.14,N
28,44900,Alugado,12.0,Médico,C,17500,14.35,1,0.39,S
25,75000,Alugado,4.0,Médico,A,7000,7.49,0,0.09,N
29,28000,Alugado,0.0,Médico,C,10000,12.84,1,0.36,S
24,50000,Hipotecado,3.0,Empreendimento,A,15000,8.9,0,0.3,N
26,100000,Alugado,11.0,Pessoal,A,14500,8.94,0,0.14,N
29,65000,Hipotecado,1.0,Reforma Casa,A,9600,5.79,0,0.15,N
39,67000,Hipotecado,4.0,Reforma Casa,B,15000,10.37,0,0.22,N
28,140000,Hipotecado,8.0,Médico,A,22000,7.9,0,0.16,N
24,113676,Hipotecado,8.0,Educação,A,7200,6.99,0,0.06,N
39,54000,Alugado,4.0,Quitação de dívidas,C,12000,14.22,1,0.22,S
32,139200,Hipotecado,5.0,Educação,A,6000,7.9,0,0.04,N
36,19200,Próprio,0.0,Reforma Casa,C,4500,13.49,1,0.23,S
26,93000,Alugado,7.0,Reforma Casa,B,9800,10.25,0,0.11,N
21,68000,Alugado,3.0,Pessoal,C,3000,11.78,0,0.04,N
22,24996,Próprio,2.0,Pessoal,B,13000,8.88,0,0.52,N
35,90000,Hipotecado,3.0,Médico,A,14500,6.54,0,0.16,N
27,42996,Alugado,1.0,Médico,C,5000,13.61,0,0.12,N
27,60000,Hipotecado,4.0,Empreendimento,A,8000,7.88,0,0.13,N
25,30000,Próprio,4.0,Educação,D,10000,14.61,0,0.33,N
28,95000,Hipotecado,0.0,Reforma Casa,A,5000,7.51,0,0.05,N
27,96000,Hipotecado,4.0,Quitação de dívidas,C,2500,12.99,0,0.03,S
27,74000,Hipotecado,3.0,Pessoal,B,25000,11.46,1,0.34,N
37,117000,Alugado,10.0,Educação,A,10000,7.66,0,0.09,N
27,89904,Alugado,1.0,Educação,B,10000,10.0,0,0.11,N
27,80500,Alugado,2.0,Pessoal,A,8000,8.49,0,0.1,N
32,100000,Alugado,7.0,Educação,C,14400,13.35,0,0.14,S
24,70000,Alugado,3.0,Pessoal,B,25000,11.86,1,0.36,N
27,37000,Próprio,1.0,Empreendimento,D,16750,15.33,0,0.45,S
23,40000,Alugado,2.0,Educação,A,1000,6.03,0,0.03,N
22,15000,Alugado,3.0,Educação,B,3000,9.91,1,0.2,N
23,92000,Alugado,7.0,Educação,A,9000,6.92,0,0.1,N
29,55000,Alugado,0.0,Pessoal,D,8500,16.29,1,0.15,S
23,75638,Alugado,2.0,Pessoal,A,8000,5.99,0,0.11,N
27,42000,Alugado,7.0,Quitação de dívidas,A,5000,5.42,0,0.12,N
40,73000,Alugado,2.0,Empreendimento,D,9975,16.29,1,0.14,S
27,22708,Alugado,6.0,Empreendimento,D,2500,14.84,1,0.11,S
27,85500,Alugado,1.0,Educação,D,11000,15.99,1,0.13,N
32,29100,Hipotecado,3.0,Médico,D,10000,15.95,1,0.34,S
23,105999,Hipotecado,6.0,Educação,B,8550,9.88,0,0.08,N
25,96000,Alugado,5.0,Médico,B,15000,11.58,0,0.16,N
29,60000,Próprio,1.0,Pessoal,B,10000,10.99,0,0.17,N
23,45600,Hipotecado,7.0,Empreendimento,C,10000,16.11,0,0.22,S
27,56000,Alugado,2.0,Pessoal,B,14000,10.65,0,0.25,N
21,45000,Alugado,3.0,Pessoal,A,3200,6.54,0,0.07,N
28,32400,Alugado,3.0,Médico,D,4900,14.12,1,0.15,N
26,46464,Hipotecado,1.0,Empreendimento,B,15000,12.21,0,0.32,N
29,18000,Alugado,2.0,Educação,C,3600,15.27,1,0.2,N
24,75000,Alugado,3.0,Reforma Casa,B,13000,10.99,0,0.17,N
32,130000,Alugado,0.0,Pessoal,B,12500,9.99,0,0.1,N
28,56000,Alugado,0.0,Médico,F,20000,18.62,1,0.36,N
24,85000,Hipotecado,8.0,Empreendimento,A,15000,7.9,0,0.18,N
33,180000,Hipotecado,17.0,Quitação de dívidas,A,13000,7.29,0,0.07,N
25,62366,Alugado,8.0,Educação,A,10000,8.94,0,0.16,N
45,110000,Hipotecado,5.0,Pessoal,B,20000,11.11,0,0.18,N
28,30000,Alugado,7.0,Empreendimento,B,10000,10.38,1,0.33,N
28,56700,Hipotecado,11.0,Empreendimento,B,15000,12.12,0,0.26,N
29,75000,Hipotecado,9.0,Pessoal,B,8000,11.99,0,0.11,N
29,89004,Hipotecado,2.0,Educação,D,4800,14.11,0,0.05,S
23,30000,Alugado,4.0,Educação,C,8125,12.68,0,0.27,N
25,75000,Hipotecado,5.0,Reforma Casa,A,3000,7.51,0,0.04,N
28,60000,Hipotecado,12.0,Reforma Casa,D,3000,17.49,0,0.05,N
40,66000,Próprio,25.0,Pessoal,C,6125,14.65,0,0.09,N
28,75000,Alugado,1.0,Reforma Casa,A,12000,9.63,0,0.16,N
24,64000,Alugado,7.0,Quitação de dívidas,D,3000,15.21,1,0.05,N
32,249996,Hipotecado,4.0,Pessoal,C,14000,12.99,0,0.06,N
25,32000,Alugado,1.0,Quitação de dívidas,A,1500,7.29,0,0.05,N
25,39000,Alugado,9.0,Médico,A,5000,7.49,0,0.13,N
32,53408,Hipotecado,8.0,Empreendimento,B,1400,10.99,0,0.03,N
24,101900,Hipotecado,0.0,Empreendimento,A,13600,6.62,0,0.13,N
35,85000,Alugado,1.0,Quitação de dívidas,A,3600,7.51,0,0.04,N
30,144997,Hipotecado,14.0,Pessoal,B,25000,11.83,0,0.17,N
26,74000,Hipotecado,8.0,Educação,B,15000,9.91,1,0.2,N
34,38000,Próprio,1.0,Reforma Casa,A,10000,8.94,0,0.26,N
24,55160,Alugado,0.0,Educação,A,3000,8.9,1,0.05,N
26,62000,Alugado,1.0,Médico,C,5200,15.96,0,0.08,N
38,55000,Hipotecado,3.0,Médico,C,14000,13.22,0,0.25,N
43,90000,Alugado,5.0,Quitação de dívidas,B,10400,11.49,0,0.12,N
28,80000,Hipotecado,12.0,Quitação de dívidas,A,12000,6.03,0,0.15,N
30,71000,Alugado,2.0,Pessoal,A,12000,8.9,0,0.17,N
24,40000,Alugado,0.0,Pessoal,A,10000,8.49,0,0.25,N
23,40100,Alugado,7.0,Médico,B,12000,9.91,0,0.3,N
34,125000,Hipotecado,0.0,Médico,B,9175,10.99,0,0.07,N
24,91000,Hipotecado,5.0,Quitação de dívidas,A,15000,7.88,0,0.16,N
26,20000,Hipotecado,1.0,Quitação de dívidas,A,1500,7.74,0,0.07,N
27,49200,Hipotecado,4.0,Reforma Casa,A,2500,5.42,0,0.05,N
25,49244,Alugado,3.0,Educação,A,8000,8.0,0,0.16,N
22,40800,Alugado,6.0,Empreendimento,A,1000,6.91,0,0.02,N
31,42000,Alugado,2.0,Educação,A,5000,8.49,1,0.12,N
22,74000,Alugado,7.0,Quitação de dívidas,D,24250,15.65,1,0.33,S
28,32000,Hipotecado,5.0,Pessoal,A,8500,7.51,0,0.27,N
21,53851,Hipotecado,2.0,Quitação de dívidas,B,12000,10.0,0,0.22,N
26,70000,Alugado,0.0,Educação,A,12000,5.99,0,0.17,N
25,55000,Hipotecado,9.0,Empreendimento,A,6500,7.49,0,0.12,N
23,65000,Hipotecado,2.0,Quitação de dívidas,A,7000,8.49,0,0.11,N
36,35000,Hipotecado,4.0,Reforma Casa,D,7500,16.29,0,0.21,N
24,65453,Alugado,9.0,Médico,D,24250,15.7,1,0.31,N
23,124800,Hipotecado,2.0,Quitação de dívidas,A,5000,6.62,0,0.04,N
23,36000,Próprio,2.0,Empreendimento,B,15000,11.36,0,0.42,N
26,58000,Alugado,0.0,Quitação de dívidas,B,20000,10.25,1,0.34,N
22,38400,Alugado,4.0,Empreendimento,C,16000,11.54,1,0.42,S
33,21600,Alugado,3.0,Quitação de dívidas,B,10000,12.53,1,0.46,N
27,19200,Hipotecado,3.0,Empreendimento,D,1400,16.77,0,0.07,N
22,36996,Alugado,0.0,Médico,A,5000,5.42,0,0.14,N
23,80607,Alugado,2.0,Médico,B,6000,12.21,0,0.07,N
26,62500,Alugado,7.0,Empreendimento,C,12000,12.23,0,0.19,N
26,70000,Hipotecado,1.0,Médico,C,7000,14.26,0,0.1,S
33,43000,Alugado,1.0,Educação,C,9150,13.16,0,0.21,S
34,70000,Alugado,1.0,Educação,B,6000,11.89,0,0.09,N
23,55365,Hipotecado,4.0,Pessoal,F,25000,19.04,1,0.45,N
28,70000,Hipotecado,2.0,Empreendimento,A,5600,6.62,0,0.08,N
22,60000,Alugado,3.0,Pessoal,A,7500,6.17,0,0.13,N
30,66000,Hipotecado,15.0,Empreendimento,B,15000,11.14,0,0.23,N
26,140000,Hipotecado,5.0,Reforma Casa,D,13050,14.59,0,0.09,S
26,41000,Alugado,1.0,Quitação de dívidas,A,6600,8.0,0,0.16,N
25,72000,Hipotecado,7.0,Educação,B,25000,11.89,0,0.35,N
22,16000,Alugado,0.0,Educação,C,4750,13.16,1,0.3,N
22,33000,Alugado,5.0,Quitação de dívidas,A,4000,7.88,0,0.12,N
30,61000,Alugado,4.0,Médico,C,4800,14.79,0,0.08,N
42,45000,Próprio,0.0,Empreendimento,A,5000,7.43,0,0.11,N
22,21000,Alugado,2.0,Quitação de dívidas,C,10000,12.73,1,0.48,S
22,52000,Alugado,6.0,Empreendimento,B,10000,11.71,0,0.19,N
31,26010,Hipotecado,2.0,Pessoal,B,6500,9.99,0,0.25,N
28,85100,Hipotecado,12.0,Educação,A,8000,7.51,0,0.09,N
31,32000,Próprio,10.0,Empreendimento,B,12375,9.91,0,0.39,N
24,60000,Hipotecado,0.0,Educação,D,8000,15.65,0,0.13,N
25,65000,Hipotecado,4.0,Pessoal,A,6000,8.9,1,0.09,N
25,50000,Alugado,3.0,Pessoal,D,4000,14.61,0,0.08,S
27,42072,Alugado,3.0,Empreendimento,B,5000,11.49,0,0.12,N
38,36000,Hipotecado,3.0,Quitação de dívidas,C,6000,13.99,0,0.17,N
24,44000,Alugado,1.0,Quitação de dívidas,D,4000,17.58,1,0.09,N
33,27996,Alugado,0.0,Empreendimento,A,4800,9.63,0,0.17,N
23,51840,Alugado,1.0,Quitação de dívidas,D,12000,15.95,1,0.23,S
21,63996,Alugado,6.0,Empreendimento,C,12000,13.79,0,0.19,N
22,50000,Próprio,6.0,Educação,B,1000,9.91,0,0.02,N
28,58200,Alugado,11.0,Educação,E,20500,16.82,1,0.35,S
23,48235,Hipotecado,5.0,Empreendimento,B,20000,12.18,0,0.41,N
39,56000,Alugado,16.0,Quitação de dívidas,C,10000,13.06,0,0.18,N
28,42000,Próprio,2.0,Médico,C,6000,12.84,0,0.14,N
27,78000,Hipotecado,0.0,Reforma Casa,A,5000,5.42,0,0.06,N
37,36000,Alugado,2.0,Pessoal,B,4800,10.75,0,0.13,N
24,175000,Alugado,1.0,Pessoal,B,19000,11.48,0,0.11,N
25,60000,Alugado,3.0,Empreendimento,D,7000,15.62,0,0.12,N
23,54000,Outros,7.0,Reforma Casa,E,16000,16.32,1,0.3,N
28,96000,Hipotecado,5.0,Reforma Casa,D,11250,17.58,0,0.12,N
34,69996,Alugado,13.0,Médico,B,32000,10.99,1,0.46,N
39,60000,Hipotecado,1.0,Educação,C,17000,14.65,0,0.28,S
21,57700,Hipotecado,5.0,Empreendimento,B,13500,9.91,0,0.23,N
26,45600,Hipotecado,9.0,Educação,C,10000,15.27,0,0.22,S
24,54000,Hipotecado,8.0,Empreendimento,D,1500,14.42,1,0.03,S
23,130000,Hipotecado,7.0,Educação,A,5000,5.79,0,0.04,N
28,37000,Alugado,2.0,Empreendimento,B,4500,11.11,0,0.12,N
26,40000,Hipotecado,10.0,Empreendimento,B,5200,10.08,0,0.13,N
24,94000,Alugado,3.0,Pessoal,B,10600,12.18,0,0.11,N
23,39689,Próprio,1.0,Empreendimento,C,13000,13.57,0,0.33,S
31,80000,Alugado,2.0,Médico,A,6000,6.03,0,0.07,N
31,75000,Hipotecado,0.0,Educação,D,20000,14.74,0,0.27,N
31,78504,Alugado,2.0,Educação,C,10000,11.41,0,0.13,N
25,72000,Próprio,8.0,Educação,A,18000,7.66,0,0.25,N
47,75000,Alugado,3.0,Reforma Casa,C,15000,13.48,0,0.2,S
29,160800,Alugado,3.0,Empreendimento,B,4800,10.99,0,0.03,N
23,30000,Alugado,7.0,Pessoal,C,6000,14.72,0,0.2,S
24,48000,Outros,5.0,Empreendimento,B,7800,11.89,0,0.16,N
22,56000,Alugado,6.0,Educação,E,18250,16.7,1,0.33,N
37,178008,Alugado,12.0,Quitação de dívidas,B,7500,11.14,0,0.04,N
31,22000,Alugado,5.0,Empreendimento,F,1400,22.06,0,0.06,S
26,155000,Hipotecado,10.0,Educação,B,25000,10.75,0,0.16,N
26,97500,Alugado,10.0,Empreendimento,E,5000,18.39,0,0.05,N
22,14400,Próprio,0.0,Pessoal,B,2100,11.14,0,0.15,N
22,45000,Alugado,6.0,Educação,B,5000,11.36,0,0.11,N
29,54000,Alugado,1.0,Reforma Casa,B,2000,10.01,0,0.04,N
34,42000,Hipotecado,18.0,Médico,A,2000,5.79,0,0.05,N
23,72000,Hipotecado,5.0,Pessoal,D,12000,16.29,0,0.17,N
31,60000,Alugado,4.0,Educação,A,25000,8.9,1,0.42,N
33,92000,Hipotecado,8.0,Educação,C,20000,13.06,0,0.22,N
31,77500,Alugado,4.0,Educação,D,10000,16.49,0,0.13,S
25,100000,Alugado,3.0,Educação,B,12000,9.91,0,0.12,N
26,35000,Hipotecado,10.0,Pessoal,B,8000,12.69,0,0.23,N
31,45000,Hipotecado,15.0,Reforma Casa,C,15000,13.06,0,0.33,S
27,146000,Hipotecado,5.0,Médico,A,2500,8.49,0,0.02,N
29,48000,Próprio,0.0,Empreendimento,C,6000,14.27,0,0.13,N
23,45000,Alugado,1.0,Quitação de dívidas,A,17625,8.9,1,0.39,N
23,56600,Próprio,3.0,Médico,B,12000,10.38,0,0.21,N
28,40800,Hipotecado,12.0,Educação,A,6700,6.99,0,0.16,N
26,65000,Hipotecado,4.0,Educação,B,5000,11.89,0,0.08,N
24,84000,Hipotecado,8.0,Reforma Casa,A,8000,7.51,0,0.1,N
36,31000,Alugado,2.0,Pessoal,D,8000,14.11,1,0.26,N
29,138000,Hipotecado,3.0,Reforma Casa,D,7500,13.24,0,0.05,S
24,27000,Hipotecado,1.0,Quitação de dívidas,B,7500,10.39,0,0.28,N
33,35000,Alugado,5.0,Médico,B,11200,10.36,1,0.32,N
26,28800,Alugado,10.0,Médico,B,15000,10.0,1,0.52,N
25,88140,Hipotecado,5.0,Educação,C,15000,13.49,0,0.17,S
23,88000,Hipotecado,7.0,Médico,A,10000,8.94,0,0.11,N
25,32400,Hipotecado,2.0,Quitação de dívidas,A,4800,7.29,0,0.15,N
23,38000,Alugado,4.0,Empreendimento,A,1500,8.32,0,0.04,N
22,36000,Alugado,3.0,Educação,A,4000,5.42,0,0.11,N
25,77000,Alugado,2.0,Quitação de dívidas,A,3500,7.9,0,0.05,N
21,13500,Alugado,0.0,Empreendimento,B,3500,9.96,1,0.26,N
44,61000,Alugado,2.0,Quitação de dívidas,D,11000,16.02,1,0.18,S
26,54828,Hipotecado,10.0,Educação,E,5000,16.82,0,0.09,N
28,44000,Hipotecado,12.0,Médico,B,8000,10.59,0,0.18,N
38,110000,Próprio,6.0,Empreendimento,C,12000,12.99,0,0.11,N
26,75000,Hipotecado,6.0,Médico,A,13000,6.99,0,0.17,N
25,125000,Alugado,9.0,Empreendimento,D,6500,14.61,0,0.05,N
42,64464,Hipotecado,13.0,Médico,E,30000,19.03,1,0.4,N
28,73000,Hipotecado,9.0,Quitação de dívidas,A,15600,6.03,0,0.21,N
25,65000,Próprio,3.0,Empreendimento,A,8700,7.88,0,0.13,N
22,32000,Alugado,0.0,Empreendimento,A,4000,5.42,0,0.13,N
26,26000,Alugado,5.0,Médico,C,5825,14.27,0,0.22,S
29,99000,Alugado,1.0,Empreendimento,B,7000,11.11,0,0.07,N
29,72000,Hipotecado,7.0,Médico,A,24000,7.88,0,0.33,N
26,29760,Alugado,6.0,Médico,B,7750,9.62,0,0.26,N
25,154000,Hipotecado,1.0,Educação,B,21600,10.37,0,0.14,N
43,42000,Alugado,4.0,Educação,D,7000,14.96,0,0.17,S
21,51000,Hipotecado,5.0,Pessoal,A,6000,7.88,0,0.12,N
23,32000,Próprio,7.0,Educação,C,3500,15.27,0,0.11,N
26,48000,Alugado,10.0,Pessoal,B,4225,9.83,0,0.09,N
36,26880,Próprio,0.0,Médico,A,4500,7.66,0,0.17,N
28,30000,Alugado,3.0,Médico,B,5000,9.88,0,0.17,N
24,64000,Hipotecado,8.0,Educação,A,5000,7.88,1,0.08,N
33,34400,Alugado,0.0,Pessoal,B,1300,9.91,0,0.04,N
24,21000,Alugado,0.0,Quitação de dívidas,C,4000,13.43,0,0.19,N
36,63177,Hipotecado,3.0,Médico,A,6250,7.49,0,0.1,N
49,120000,Hipotecado,12.0,Médico,B,12000,10.99,0,0.1,N
30,46800,Alugado,0.0,Educação,A,7500,7.88,0,0.16,N
25,104000,Próprio,2.0,Reforma Casa,A,10000,6.92,0,0.1,N
25,85000,Hipotecado,6.0,Quitação de dívidas,C,1500,13.06,0,0.02,N
24,7800,Alugado,1.0,Educação,B,1000,11.36,0,0.13,N
23,79100,Hipotecado,4.0,Empreendimento,A,3300,5.42,0,0.04,N
33,56000,Alugado,2.0,Educação,A,10000,7.74,0,0.18,N
22,25000,Próprio,1.0,Médico,C,2400,14.27,0,0.1,S
37,74784,Alugado,8.0,Reforma Casa,E,15000,14.5,0,0.2,N
25,96000,Alugado,3.0,Empreendimento,B,12000,11.99,0,0.13,N
34,50725,Alugado,1.0,Empreendimento,C,5400,13.16,0,0.11,S
33,26000,Hipotecado,1.0,Quitação de dívidas,B,15000,9.76,1,0.58,N
31,40000,Alugado,2.0,Educação,B,7000,9.62,0,0.17,N
23,30000,Alugado,0.0,Reforma Casa,C,10000,15.27,1,0.33,S
28,68000,Próprio,0.0,Educação,C,12000,12.09,0,0.18,S
22,85000,Hipotecado,0.0,Educação,B,12000,11.99,0,0.14,N
23,31200,Alugado,0.0,Pessoal,C,3200,13.49,0,0.1,S
22,55000,Alugado,3.0,Pessoal,D,15000,14.61,0,0.27,S
26,54000,Alugado,0.0,Médico,C,4000,13.47,1,0.07,N
25,64000,Alugado,7.0,Quitação de dívidas,D,8000,15.28,1,0.13,S
25,40000,Hipotecado,6.0,Pessoal,C,5000,12.61,0,0.13,S
24,61781,Hipotecado,6.0,Educação,B,17800,10.25,0,0.29,N
25,130000,Hipotecado,9.0,Pessoal,B,15000,11.89,0,0.12,N
25,42900,Alugado,5.0,Pessoal,A,12000,8.9,0,0.28,N
27,40000,Alugado,0.0,Empreendimento,D,8000,15.65,1,0.2,S
27,120000,Hipotecado,11.0,Reforma Casa,B,10000,11.14,0,0.08,N
22,31200,Alugado,1.0,Empreendimento,B,3200,11.99,0,0.1,N
22,33000,Alugado,1.0,Educação,B,5000,10.25,0,0.15,N
23,24000,Próprio,5.0,Educação,B,7000,11.86,0,0.29,N
33,153000,Hipotecado,1.0,Reforma Casa,D,23100,14.74,1,0.15,S
25,41508,Hipotecado,9.0,Educação,C,1600,13.11,0,0.04,S
25,40000,Alugado,5.0,Pessoal,A,1200,8.0,0,0.03,N
27,102616,Alugado,4.0,Médico,C,18000,13.99,1,0.15,S
23,48756,Alugado,5.0,Educação,B,4800,11.36,0,0.1,N
22,95000,Hipotecado,2.0,Médico,B,5000,10.59,0,0.05,N
30,36000,Hipotecado,8.0,Pessoal,B,5000,8.88,0,0.14,N
26,98000,Alugado,8.0,Quitação de dívidas,B,6000,10.99,0,0.06,N
26,82000,Alugado,8.0,Reforma Casa,A,6000,7.88,0,0.07,N
22,30000,Alugado,4.0,Quitação de dívidas,D,7000,16.49,1,0.23,S
23,24000,Alugado,1.0,Empreendimento,B,5500,10.99,0,0.23,N
