id,status,expectativa_de_vida,escolaridade
209,desenvolvimento,75.4,15.3
210,desenvolvimento,75.2,15.3
211,desenvolvimento,75.1,15.3
212,desenvolvimento,74.9,15.5
213,desenvolvimento,74.7,15.8
214,desenvolvimento,74.6,15.5
215,desenvolvimento,74.4,15.3
216,desenvolvimento,74.2,15.0
217,desenvolvimento,74.1,14.8
218,desenvolvimento,73.9,14.6
219,desenvolvimento,73.8,14.4
220,desenvolvimento,73.7,14.2
221,desenvolvimento,73.5,14.0
222,desenvolvimento,73.4,14.0
223,desenvolvimento,73.3,14.0
224,desenvolvimento,72.3,15.6
225,desenvolvimento,72.0,15.7
226,desenvolvimento,71.7,15.7
227,desenvolvimento,71.9,15.6
228,desenvolvimento,72.0,15.5
229,desenvolvimento,73.0,15.5
230,desenvolvimento,70.0,15.4
231,desenvolvimento,70.0,15.1
232,desenvolvimento,69.8,14.9
233,desenvolvimento,68.9,14.6
234,desenvolvimento,68.1,14.4
235,desenvolvimento,68.2,14.1
236,desenvolvimento,67.7,13.9
237,desenvolvimento,67.2,13.6
238,desenvolvimento,67.7,13.3
239,desenvolvimento,68.0,13.1
240,desenvolvido,81.1,16.6
241,desenvolvido,89.0,16.3
242,desenvolvido,87.0,16.3
243,desenvolvido,83.0,16.2
244,desenvolvido,83.0,16.1
245,desenvolvido,80.0,15.9
246,desenvolvido,79.8,15.8
247,desenvolvido,79.5,15.8
248,desenvolvido,79.5,15.8
249,desenvolvido,79.4,15.7
250,desenvolvido,78.9,15.7
251,desenvolvido,78.8,18.8
252,desenvolvido,78.3,18.6
253,desenvolvido,78.0,18.8
254,desenvolvido,78.0,18.2
255,desenvolvido,77.6,18.0
256,desenvolvimento,71.0,12.8
257,desenvolvimento,70.0,12.8
258,desenvolvimento,69.8,12.9
259,desenvolvimento,69.4,12.5
260,desenvolvimento,69.4,12.4
261,desenvolvimento,69.5,12.4
262,desenvolvimento,69.5,12.7
263,desenvolvimento,69.6,12.8
264,desenvolvimento,69.6,12.8
265,desenvolvimento,69.4,12.3
266,desenvolvimento,69.0,12.8
267,desenvolvimento,68.7,12.5
268,desenvolvimento,68.4,12.2
269,desenvolvimento,68.5,11.9
270,desenvolvimento,68.2,11.8
271,desenvolvimento,68.3,11.7
272,desenvolvimento,60.0,10.7
273,desenvolvimento,59.7,10.7
274,desenvolvimento,59.5,10.3
275,desenvolvimento,59.3,10.0
276,desenvolvimento,59.1,9.8
277,desenvolvimento,58.7,9.5
278,desenvolvimento,58.4,9.3
279,desenvolvimento,57.6,9.1
280,desenvolvimento,57.1,8.9
281,desenvolvimento,56.8,8.7
282,desenvolvimento,56.5,8.5
283,desenvolvimento,56.1,8.1
284,desenvolvimento,55.8,7.7
285,desenvolvimento,55.6,7.3
286,desenvolvimento,55.5,6.6
287,desenvolvimento,55.4,6.4
288,desenvolvimento,69.8,12.5
289,desenvolvimento,69.4,12.5
290,desenvolvimento,69.1,12.6
291,desenvolvimento,68.7,12.3
292,desenvolvimento,68.3,11.9
293,desenvolvimento,67.9,11.4
294,desenvolvimento,67.4,10.9
295,desenvolvimento,67.0,10.5
296,desenvolvimento,66.5,10.1
297,desenvolvimento,65.8,9.6
298,desenvolvimento,65.0,9.2
299,desenvolvimento,64.2,8.8
300,desenvolvimento,63.3,8.4
301,desenvolvimento,62.5,8.0
302,desenvolvimento,61.7,7.6
303,desenvolvimento,62.0,7.3
304,desenvolvimento,77.0,13.8
305,desenvolvimento,74.0,13.8
306,desenvolvimento,71.0,13.8
307,desenvolvimento,69.8,13.8
308,desenvolvimento,69.3,13.8
309,desenvolvimento,68.7,13.8
310,desenvolvimento,68.0,13.8
311,desenvolvimento,67.4,14.0
312,desenvolvimento,66.8,14.1
313,desenvolvimento,66.2,14.3
314,desenvolvimento,65.7,14.4
315,desenvolvimento,65.1,14.6
316,desenvolvimento,64.5,14.4
317,desenvolvimento,63.9,14.0
318,desenvolvimento,63.3,13.7
319,desenvolvimento,62.6,13.3
320,desenvolvimento,77.4,14.2
321,desenvolvimento,77.2,14.2
322,desenvolvimento,77.0,14.2
323,desenvolvimento,76.8,13.9
324,desenvolvimento,76.9,13.4
325,desenvolvimento,76.4,13.3
326,desenvolvimento,76.1,13.3
327,desenvolvimento,76.0,13.1
328,desenvolvimento,75.4,12.9
329,desenvolvimento,75.7,12.7
330,desenvolvimento,75.0,12.5
331,desenvolvimento,75.5,12.3
332,desenvolvimento,75.2,12.1
333,desenvolvimento,75.4,11.9
334,desenvolvimento,74.9,11.6
335,desenvolvimento,74.6,0.0
336,desenvolvimento,65.7,12.6
337,desenvolvimento,65.1,12.6
338,desenvolvimento,64.2,12.6
339,desenvolvimento,63.4,12.5
340,desenvolvimento,62.2,12.4
341,desenvolvimento,61.1,12.3
342,desenvolvimento,59.2,12.2
343,desenvolvimento,57.5,12.1
344,desenvolvimento,56.9,12.1
345,desenvolvimento,54.8,11.9
346,desenvolvimento,51.7,11.9
347,desenvolvimento,48.1,11.8
348,desenvolvimento,46.4,11.8
349,desenvolvimento,46.0,11.9
350,desenvolvimento,46.7,11.8
351,desenvolvimento,47.8,11.7
352,desenvolvimento,75.0,15.2
353,desenvolvimento,74.8,15.2
354,desenvolvimento,74.7,14.2
355,desenvolvimento,74.5,14.2
356,desenvolvimento,74.1,14.0
357,desenvolvimento,73.8,13.8
358,desenvolvimento,73.6,13.8
359,desenvolvimento,73.4,13.3
360,desenvolvimento,73.3,13.5
361,desenvolvimento,73.0,13.8
362,desenvolvimento,72.7,13.8
363,desenvolvimento,72.0,14.0
364,desenvolvimento,71.8,14.8
365,desenvolvimento,71.4,14.6
366,desenvolvimento,71.0,14.3
367,desenvolvimento,75.0,14.1
368,desenvolvimento,77.7,14.9
369,desenvolvimento,77.6,15.0
370,desenvolvimento,77.1,14.9
371,desenvolvimento,78.3,14.4
372,desenvolvimento,77.4,14.1
373,desenvolvimento,76.9,14.2
374,desenvolvimento,76.8,14.1
375,desenvolvimento,77.2,14.2
376,desenvolvimento,76.0,14.3
377,desenvolvimento,76.3,14.3
378,desenvolvimento,76.2,14.1
379,desenvolvimento,76.4,13.7
380,desenvolvimento,76.0,13.4
381,desenvolvimento,74.8,13.3
382,desenvolvimento,74.7,13.4
383,desenvolvimento,74.4,13.4
384,desenvolvido,74.5,15.0
385,desenvolvido,74.3,14.8
386,desenvolvido,74.1,14.4
387,desenvolvido,73.9,14.3
388,desenvolvido,73.7,14.2
389,desenvolvido,73.4,13.9
390,desenvolvido,73.2,13.8
391,desenvolvido,72.9,13.8
392,desenvolvido,72.6,13.5
393,desenvolvido,72.2,13.5
394,desenvolvido,72.1,13.5
395,desenvolvido,72.2,13.3
396,desenvolvido,72.0,12.9
397,desenvolvido,71.8,12.9
398,desenvolvido,71.6,12.9
399,desenvolvido,71.1,12.9
400,desenvolvimento,59.9,7.7
401,desenvolvimento,59.3,7.7
402,desenvolvimento,59.0,7.5
403,desenvolvimento,58.6,7.2
404,desenvolvimento,58.1,6.7
405,desenvolvimento,57.5,6.3
406,desenvolvimento,56.9,5.9
407,desenvolvimento,56.1,5.4
408,desenvolvimento,55.3,4.9
409,desenvolvimento,54.3,4.7
410,desenvolvimento,53.3,4.3
411,desenvolvimento,52.4,3.9
412,desenvolvimento,51.6,3.8
413,desenvolvimento,51.0,3.6
414,desenvolvimento,56.0,3.5
415,desenvolvimento,51.0,3.4
416,desenvolvimento,59.6,10.6
417,desenvolvimento,59.1,10.6
418,desenvolvimento,58.6,10.5
419,desenvolvimento,58.0,10.3
420,desenvolvimento,57.4,9.9
421,desenvolvimento,56.8,9.3
422,desenvolvimento,56.2,8.6
423,desenvolvimento,55.3,7.9
424,desenvolvimento,54.8,7.2
425,desenvolvimento,54.1,5.9
426,desenvolvimento,53.4,5.6
427,desenvolvimento,52.6,5.2
428,desenvolvimento,51.9,4.7
429,desenvolvimento,51.5,4.4
430,desenvolvimento,51.3,4.5
431,desenvolvimento,58.0,4.5
448,desenvolvimento,73.3,13.5
449,desenvolvimento,73.0,13.5
450,desenvolvimento,72.8,13.6
451,desenvolvimento,72.7,13.2
452,desenvolvimento,72.6,13.1
453,desenvolvimento,72.5,12.7
454,desenvolvimento,72.4,12.4
455,desenvolvimento,72.4,12.2
456,desenvolvimento,72.3,11.9
457,desenvolvimento,72.1,11.9
458,desenvolvimento,71.8,11.2
459,desenvolvimento,71.4,11.1
460,desenvolvimento,71.1,11.3
461,desenvolvimento,77.0,11.3
462,desenvolvimento,73.0,11.0
463,desenvolvimento,69.9,11.3
464,desenvolvimento,68.7,10.9
465,desenvolvimento,68.3,10.9
466,desenvolvimento,67.8,10.8
467,desenvolvimento,67.4,10.7
468,desenvolvimento,67.0,10.7
469,desenvolvimento,66.6,10.6
470,desenvolvimento,66.1,10.5
471,desenvolvimento,65.6,10.5
472,desenvolvimento,65.0,10.3
473,desenvolvimento,64.1,10.1
474,desenvolvimento,62.9,10.0
475,desenvolvimento,61.5,9.7
476,desenvolvimento,63.0,9.3
477,desenvolvimento,59.3,8.2
478,desenvolvimento,58.5,7.6
479,desenvolvimento,57.7,7.2
480,desenvolvimento,57.3,10.4
481,desenvolvimento,56.7,10.4
482,desenvolvimento,56.4,10.4
483,desenvolvimento,55.9,10.4
484,desenvolvimento,55.6,10.0
485,desenvolvimento,55.3,9.7
486,desenvolvimento,54.8,9.2
487,desenvolvimento,54.2,8.8
488,desenvolvimento,53.6,8.0
489,desenvolvimento,53.3,8.2
490,desenvolvimento,52.8,8.3
491,desenvolvimento,52.1,8.2
492,desenvolvimento,51.8,8.1
493,desenvolvimento,51.6,8.4
494,desenvolvimento,51.5,7.1
495,desenvolvimento,51.4,6.9
496,desenvolvimento,82.2,16.3
497,desenvolvimento,82.0,15.9
498,desenvolvimento,81.8,15.9
499,desenvolvimento,81.6,15.9
500,desenvolvimento,81.5,15.9
501,desenvolvimento,81.2,15.9
502,desenvolvimento,81.0,15.9
503,desenvolvimento,87.0,15.8
504,desenvolvimento,85.0,15.8
505,desenvolvimento,85.0,15.8
506,desenvolvimento,81.0,15.8
507,desenvolvimento,80.0,15.8
508,desenvolvimento,79.7,15.8
509,desenvolvimento,79.5,15.8
510,desenvolvimento,79.4,15.8
511,desenvolvimento,79.1,15.9
512,desenvolvimento,52.5,7.1
513,desenvolvimento,58.0,7.1
514,desenvolvimento,49.9,7.1
515,desenvolvimento,53.0,7.1
516,desenvolvimento,49.8,6.8
517,desenvolvimento,49.2,6.6
518,desenvolvimento,48.6,6.4
519,desenvolvimento,47.6,6.3
520,desenvolvimento,46.8,6.2
521,desenvolvimento,46.3,6.0
522,desenvolvimento,45.9,5.9
523,desenvolvimento,45.7,5.7
524,desenvolvimento,45.7,5.6
525,desenvolvimento,45.6,5.4
526,desenvolvimento,45.6,5.3
527,desenvolvimento,46.0,5.2
528,desenvolvimento,53.1,7.3
529,desenvolvimento,52.6,7.3
530,desenvolvimento,52.2,7.3
531,desenvolvimento,51.8,7.3
532,desenvolvimento,51.6,6.7
533,desenvolvimento,51.2,6.7
534,desenvolvimento,57.0,6.3
535,desenvolvimento,49.6,6.0
536,desenvolvimento,49.4,5.7
537,desenvolvimento,48.5,5.5
538,desenvolvimento,48.6,5.6
539,desenvolvimento,48.5,5.6
540,desenvolvimento,48.4,5.4
541,desenvolvimento,48.1,5.1
542,desenvolvimento,48.0,4.9
543,desenvolvimento,47.6,4.7
544,desenvolvimento,85.0,16.3
545,desenvolvimento,83.0,16.2
546,desenvolvimento,81.0,15.6
547,desenvolvimento,79.9,15.5
548,desenvolvimento,79.8,15.4
549,desenvolvimento,79.1,15.2
550,desenvolvimento,79.3,15.3
551,desenvolvimento,79.6,15.2
552,desenvolvimento,78.9,14.8
553,desenvolvimento,78.9,14.9
554,desenvolvimento,78.4,14.6
555,desenvolvimento,78.0,14.3
556,desenvolvimento,77.9,14.0
557,desenvolvimento,77.8,13.9
558,desenvolvimento,77.3,13.7
559,desenvolvimento,77.3,13.5
560,desenvolvimento,76.1,13.5
561,desenvolvimento,75.8,13.1
562,desenvolvimento,75.6,12.7
563,desenvolvimento,75.4,12.4
564,desenvolvimento,75.2,12.8
565,desenvolvimento,75.0,12.5
566,desenvolvimento,74.9,12.2
567,desenvolvimento,74.5,11.9
568,desenvolvimento,74.4,11.4
569,desenvolvimento,74.2,11.0
570,desenvolvimento,73.9,10.6
571,desenvolvimento,73.5,10.2
572,desenvolvimento,73.1,9.9
573,desenvolvimento,72.7,9.7
574,desenvolvimento,72.2,9.6
575,desenvolvimento,71.7,9.5
576,desenvolvimento,74.8,13.6
577,desenvolvimento,74.6,13.6
578,desenvolvimento,74.4,13.3
579,desenvolvimento,74.3,13.2
580,desenvolvimento,74.2,13.0
581,desenvolvimento,73.6,12.8
582,desenvolvimento,73.6,12.4
583,desenvolvimento,73.5,12.2
584,desenvolvimento,73.5,11.9
585,desenvolvimento,73.1,11.5
586,desenvolvimento,73.1,11.1
587,desenvolvimento,72.8,11.3
588,desenvolvimento,72.4,11.6
589,desenvolvimento,71.8,11.5
590,desenvolvimento,71.5,11.4
591,desenvolvimento,71.4,11.3
592,desenvolvimento,63.5,11.1
593,desenvolvimento,63.2,11.1
594,desenvolvimento,62.9,10.9
595,desenvolvimento,62.5,10.8
596,desenvolvimento,62.2,10.6
597,desenvolvimento,61.8,10.5
598,desenvolvimento,61.3,10.3
599,desenvolvimento,61.0,10.2
600,desenvolvimento,66.0,10.0
601,desenvolvimento,63.0,9.9
602,desenvolvimento,60.0,9.7
603,desenvolvimento,59.8,9.5
604,desenvolvimento,59.6,9.2
605,desenvolvimento,59.5,8.8
606,desenvolvimento,59.5,8.5
607,desenvolvimento,59.5,8.2
608,desenvolvimento,64.7,11.1
609,desenvolvimento,64.2,11.1
610,desenvolvimento,63.9,11.1
611,desenvolvimento,63.7,10.2
612,desenvolvimento,62.9,10.7
613,desenvolvimento,62.0,10.5
614,desenvolvimento,68.0,10.3
615,desenvolvimento,59.4,10.0
616,desenvolvimento,58.2,9.8
617,desenvolvimento,56.9,9.6
618,desenvolvimento,55.3,9.4
619,desenvolvimento,54.1,9.2
620,desenvolvimento,53.2,9.4
621,desenvolvimento,52.6,9.5
622,desenvolvimento,52.7,9.7
623,desenvolvimento,52.9,9.8
625,desenvolvimento,79.6,14.2
626,desenvolvimento,79.5,13.9
627,desenvolvimento,79.4,13.7
628,desenvolvimento,79.2,13.6
629,desenvolvimento,79.0,13.4
630,desenvolvimento,78.1,13.3
631,desenvolvimento,79.2,13.1
632,desenvolvimento,78.9,12.9
633,desenvolvimento,78.9,12.8
634,desenvolvimento,78.0,12.6
635,desenvolvimento,78.6,12.4
636,desenvolvimento,77.7,12.2
637,desenvolvimento,78.0,12.1
638,desenvolvimento,78.3,11.9
639,desenvolvimento,77.5,11.7
640,desenvolvimento,77.6,11.6
641,desenvolvido,78.0,15.3
642,desenvolvido,77.8,15.1
643,desenvolvido,77.7,14.9
644,desenvolvido,77.1,14.6
645,desenvolvido,77.0,14.5
646,desenvolvido,76.6,14.2
647,desenvolvido,76.3,14.2
648,desenvolvido,76.0,14.3
649,desenvolvido,75.8,14.3
650,desenvolvido,75.9,13.9
651,desenvolvido,75.2,13.6
652,desenvolvido,75.4,13.3
653,desenvolvido,74.7,12.9
654,desenvolvido,74.8,12.6
655,desenvolvido,74.9,12.3
656,desenvolvido,74.7,12.2
657,desenvolvimento,79.1,13.9
658,desenvolvimento,79.0,14.0
659,desenvolvimento,78.7,14.7
660,desenvolvimento,78.7,15.7
661,desenvolvimento,78.8,16.5
662,desenvolvimento,78.0,17.6
663,desenvolvimento,78.1,17.7
664,desenvolvimento,77.9,17.1
665,desenvolvimento,78.1,16.0
666,desenvolvimento,78.0,14.7
667,desenvolvimento,77.2,14.2
668,desenvolvimento,77.3,13.2
669,desenvolvimento,77.4,12.9
670,desenvolvimento,77.7,12.5
671,desenvolvimento,76.7,12.3
672,desenvolvimento,76.9,12.1
673,desenvolvido,85.0,14.3
674,desenvolvido,83.0,14.0
675,desenvolvido,81.0,13.8
676,desenvolvido,80.0,13.8
677,desenvolvido,79.7,13.8
678,desenvolvido,79.5,14.6
679,desenvolvido,79.3,14.1
680,desenvolvido,79.1,13.7
681,desenvolvido,78.9,13.5
682,desenvolvido,78.8,13.4
683,desenvolvido,78.7,13.5
684,desenvolvido,78.6,13.4
685,desenvolvido,78.5,13.0
686,desenvolvido,78.4,12.5
687,desenvolvido,78.2,12.4
688,desenvolvido,78.1,12.5
737,desenvolvido,86.0,19.2
738,desenvolvido,84.0,19.2
739,desenvolvido,81.0,18.7
740,desenvolvido,80.0,18.4
741,desenvolvido,79.7,16.9
742,desenvolvido,79.2,16.8
743,desenvolvido,78.9,16.8
744,desenvolvido,78.8,16.8
745,desenvolvido,78.4,16.7
746,desenvolvido,78.1,16.9
747,desenvolvido,78.1,16.6
748,desenvolvido,77.7,16.5
749,desenvolvido,77.3,16.3
750,desenvolvido,77.0,16.6
751,desenvolvido,77.0,16.2
752,desenvolvido,76.9,16.5
753,desenvolvimento,63.5,6.3
754,desenvolvimento,63.0,6.3
755,desenvolvimento,62.7,6.3
756,desenvolvimento,62.2,6.3
757,desenvolvimento,61.8,5.9
758,desenvolvimento,61.3,5.5
759,desenvolvimento,69.0,5.3
760,desenvolvimento,62.0,5.0
761,desenvolvimento,59.8,4.5
762,desenvolvimento,59.1,4.3
763,desenvolvimento,58.6,4.0
764,desenvolvimento,58.1,3.7
765,desenvolvimento,58.0,3.5
766,desenvolvimento,57.9,3.3
767,desenvolvimento,57.7,2.9
768,desenvolvimento,57.4,2.9
770,desenvolvimento,73.9,13.2
771,desenvolvimento,73.6,13.2
772,desenvolvimento,73.4,13.2
773,desenvolvimento,72.1,13.1
774,desenvolvimento,73.1,13.0
775,desenvolvimento,72.7,12.9
776,desenvolvimento,73.6,12.9
777,desenvolvimento,73.3,12.8
778,desenvolvimento,72.9,12.7
779,desenvolvimento,72.3,12.6
780,desenvolvimento,69.7,12.6
781,desenvolvimento,69.3,12.5
782,desenvolvimento,73.0,12.4
783,desenvolvimento,71.4,12.3
784,desenvolvimento,71.2,12.3
785,desenvolvimento,72.0,12.2
786,desenvolvimento,76.2,14.0
787,desenvolvimento,76.0,14.0
788,desenvolvimento,76.0,13.4
789,desenvolvimento,75.5,13.3
790,desenvolvimento,75.3,13.2
791,desenvolvimento,75.0,13.1
792,desenvolvimento,75.1,13.1
793,desenvolvimento,74.6,13.0
794,desenvolvimento,74.7,12.9
795,desenvolvimento,74.4,12.8
796,desenvolvimento,74.2,12.8
797,desenvolvimento,74.4,12.7
798,desenvolvimento,74.4,12.6
799,desenvolvimento,73.6,12.5
800,desenvolvimento,73.4,12.4
801,desenvolvimento,72.8,12.4
802,desenvolvimento,79.0,13.1
803,desenvolvimento,78.0,13.1
804,desenvolvimento,79.0,12.8
805,desenvolvimento,72.0,12.4
806,desenvolvimento,74.0,12.4
807,desenvolvimento,70.0,12.2
808,desenvolvimento,69.9,12.0
809,desenvolvimento,69.8,11.9
810,desenvolvimento,69.7,11.7
811,desenvolvimento,69.5,11.5
812,desenvolvimento,69.4,11.4
813,desenvolvimento,69.0,11.2
814,desenvolvimento,68.6,11.3
815,desenvolvimento,68.7,11.2
816,desenvolvimento,68.6,11.1
817,desenvolvimento,68.8,11.0
818,desenvolvimento,73.5,13.2
819,desenvolvimento,73.3,13.2
820,desenvolvimento,73.0,13.2
821,desenvolvimento,73.0,13.2
822,desenvolvimento,72.0,13.0
823,desenvolvimento,72.0,12.9
824,desenvolvimento,71.4,12.8
825,desenvolvimento,71.7,13.4
826,desenvolvimento,71.2,12.9
827,desenvolvimento,75.0,12.9
828,desenvolvimento,71.0,12.7
829,desenvolvimento,70.0,12.4
830,desenvolvimento,69.9,12.0
831,desenvolvimento,73.0,11.8
832,desenvolvimento,68.9,11.6
833,desenvolvimento,69.0,11.3
834,desenvolvimento,58.2,9.2
835,desenvolvimento,57.9,9.2
836,desenvolvimento,57.4,9.2
837,desenvolvimento,56.7,9.2
838,desenvolvimento,56.2,9.2
839,desenvolvimento,56.1,9.2
840,desenvolvimento,55.7,9.1
841,desenvolvimento,55.4,9.1
842,desenvolvimento,55.0,9.0
843,desenvolvimento,54.8,9.0
844,desenvolvimento,54.4,8.7
845,desenvolvimento,54.1,8.5
846,desenvolvimento,53.8,8.4
